#==================================================
#    Mayadas-Shatzkes Resistivity Calculation
#==================================================
# PARAMETERS
# Option of calculation :  1
# Option of error bar   :  2
# Constant error bar    :      2.00000E-02
#==================================================
# 1- 0 : Debye temperature (K) :                       2.15000E+02
# Limits :     1.95000E+02    2.30000E+02   F   F
#==================================================
# 2- 0 : Residual resistivity (microOhm.cm) :          2.11000E+00
# Limits :     2.00000E+00    1.00000E-02   F   F
#==================================================
# 3- 0 : R - Grain boundary scattering parameter :     3.90000E-01
# Limits :     5.00000E-02    1.50000E-01   F   F
#==================================================
# 4- 0 : p - Interface scattering parameter :          1.00000E+00
# Limits :     7.00000E-01    9.00000E-01   F   F
#==================================================
# 5- 0 : Film thickness (nm) :                         1.00000E+01
# Limits :     4.00000E+00    6.00000E+00   F   F
#==================================================
# 6- 0 : Grain size (nm) :                             1.00000E+01
# Limits :     3.00000E+00    7.00000E+00   F   F
#=======================================================================================
# Reliance factors
# Chi2      :       1.85530E+03
# RBragg    :       5.79284E-02
# RBraggexp :       1.97476E-03
# Goodness  :       2.93344E+01
#=======================================================================================
#                   Temperature      Experimental_Resistivity  Sig_Experimental_Resistivity       Theoretical_Resistivity
               0.3999985504E+03              0.1154075079E+02              0.2000000000E-01              0.1143217867E+02
               0.3988852539E+03              0.1160501917E+02              0.2000000000E-01              0.1142642636E+02
               0.3977987518E+03              0.1171986488E+02              0.2000000000E-01              0.1142081191E+02
               0.3966605530E+03              0.1174304594E+02              0.2000000000E-01              0.1141492968E+02
               0.3957127533E+03              0.1174980104E+02              0.2000000000E-01              0.1141003094E+02
               0.3949235535E+03              0.1149375076E+02              0.2000000000E-01              0.1140595159E+02
               0.3938266449E+03              0.1164657300E+02              0.2000000000E-01              0.1140028117E+02
               0.3928565521E+03              0.1150980979E+02              0.2000000000E-01              0.1139526580E+02
               0.3916762390E+03              0.1152236073E+02              0.2000000000E-01              0.1138916295E+02
               0.3907940063E+03              0.1152355799E+02              0.2000000000E-01              0.1138460086E+02
               0.3898826599E+03              0.1153345475E+02              0.2000000000E-01              0.1137988780E+02
               0.3888107910E+03              0.1155854472E+02              0.2000000000E-01              0.1137434403E+02
               0.3878727417E+03              0.1156021167E+02              0.2000000000E-01              0.1136949189E+02
               0.3868449402E+03              0.1156165998E+02              0.2000000000E-01              0.1136417496E+02
               0.3858584442E+03              0.1156556684E+02              0.2000000000E-01              0.1135907118E+02
               0.3848318634E+03              0.1157274665E+02              0.2000000000E-01              0.1135375946E+02
               0.3838621521E+03              0.1157873901E+02              0.2000000000E-01              0.1134874147E+02
               0.3828463593E+03              0.1158404908E+02              0.2000000000E-01              0.1134348447E+02
               0.3818623962E+03              0.1160659926E+02              0.2000000000E-01              0.1133839166E+02
               0.3808573608E+03              0.1163555369E+02              0.2000000000E-01              0.1133318924E+02
               0.3798453979E+03              0.1164314230E+02              0.2000000000E-01              0.1132795039E+02
               0.3788524628E+03              0.1164553022E+02              0.2000000000E-01              0.1132280950E+02
               0.3778553009E+03              0.1164894794E+02              0.2000000000E-01              0.1131764616E+02
               0.3768713074E+03              0.1164223794E+02              0.2000000000E-01              0.1131255046E+02
               0.3758542023E+03              0.1168525933E+02              0.2000000000E-01              0.1130728271E+02
               0.3748356628E+03              0.1170510301E+02              0.2000000000E-01              0.1130200695E+02
               0.3738246918E+03              0.1162107169E+02              0.2000000000E-01              0.1129676979E+02
               0.3728224030E+03              0.1161275257E+02              0.2000000000E-01              0.1129157703E+02
               0.3718596497E+03              0.1160470698E+02              0.2000000000E-01              0.1128658854E+02
               0.3708684998E+03              0.1159593727E+02              0.2000000000E-01              0.1128145235E+02
               0.3698462524E+03              0.1158805914E+02              0.2000000000E-01              0.1127615441E+02
               0.3688271027E+03              0.1158059604E+02              0.2000000000E-01              0.1127087190E+02
